symbol,date,open,high,low,close,volume,sma20,sma50,ema20,ema50,rsi14,macd,macd_signal,macd_hist,atr14,obv,bollinger_upper,bollinger_middle,bollinger_lower,target
FPT.VN,2010-04-30,12128.53,12128.53,12128.53,12128.53,0,12007.9335,11724.7046,12003.1604,11821.504,51.77,118.9224,112.7202,6.2022,150.8636,9119877,12279.4717,12007.9335,11736.3953,0
FPT.VN,2010-05-03,12128.53,12128.53,12128.53,12128.53,0,12021.716,11737.1088,12015.1004,11833.5442,51.77,114.3976,113.0556,1.3419,140.0876,9119877,12288.0496,12021.716,11755.3824,1
FPT.VN,2010-05-04,12473.09,12473.09,12197.44,12197.44,739637,12038.944,11759.1606,12032.466,11847.8146,54.9218,115.0459,113.4537,1.5922,154.6928,9859514,12303.8658,12038.944,11774.0222,1
FPT.VN,2010-05-05,12197.44,12266.35,12128.53,12266.35,2240245,12056.172,11782.5906,12054.7407,11864.2278,57.8856,119.7399,114.711,5.029,153.4876,12099759,12333.5371,12056.172,11778.8069,0
FPT.VN,2010-05-06,12128.53,12266.35,12059.62,12059.62,2173711,12066.509,11801.886,12055.2054,11871.8902,47.744,105.5617,112.8811,-7.3194,157.2906,9926048,12326.8615,12066.509,11806.1565,0
FPT.VN,2010-05-07,11921.79,11990.71,11783.97,11921.79,1529774,12069.9545,11825.316,12042.4992,11873.8471,42.4091,82.2555,106.756,-24.5005,165.7449,8396274,12320.024,12069.9545,11819.885,0
FPT.VN,2010-05-10,11921.79,11921.79,11577.23,11783.97,2436799,12059.6175,11840.4766,12017.8773,11870.3225,37.8543,52.064,95.8176,-43.7536,178.5174,5959475,12338.8686,12059.6175,11780.3664,0
FPT.VN,2010-05-11,9165.31,9234.22,8820.75,8820.75,1131731,11897.674,11796.3728,11713.389,11750.7314,10.8563,-208.5658,34.9409,-243.5067,377.4247,4827744,13372.8125,11897.674,10422.5355,1
FPT.VN,2010-05-12,8820.75,8889.66,8614.01,8889.66,679198,11739.176,11750.8908,11444.4624,11638.5325,12.4206,-404.889,-53.0251,-351.8639,370.1551,5506942,13731.5641,11739.176,9746.7879,0
FPT.VN,2010-05-13,8820.75,8820.75,8545.1,8751.84,665558,11573.787,11698.5176,11188.0222,11525.3289,11.9683,-565.0836,-155.4368,-409.6468,368.3269,4841384,13963.6811,11573.787,9183.8929,0
FPT.VN,2010-05-14,8751.84,8889.66,8751.84,8751.84,316199,11411.8435,11647.5228,10956.0049,11416.5646,11.9683,-684.1524,-261.1799,-422.9725,351.8621,4841384,14102.7685,11411.8435,8720.9185,0
FPT.VN,2010-05-17,8751.84,8751.84,8407.28,8407.28,987127,11239.5635,11588.2584,10713.2692,11298.5535,10.8252,-797.1297,-368.3699,-428.7598,351.3405,3854257,14235.5045,11239.5635,8243.6225,0
FPT.VN,2010-05-18,8338.36,8476.19,8269.45,8407.28,2044561,11067.2835,11524.8594,10493.6511,11185.1702,10.8252,-876.5605,-470.008,-406.5525,341.0119,3854257,14301.5234,11067.2835,7833.0436,0
FPT.VN,2010-05-19,8131.63,8269.45,8131.63,8200.54,2045576,10884.6665,11446.2996,10275.2596,11068.1259,10.1505,-945.2954,-565.0655,-380.23,336.3432,1808681,14337.2182,10884.6665,7432.1148,1
FPT.VN,2010-05-20,7993.8,8476.19,7993.8,8476.19,646112,10702.0495,11370.4964,10103.9196,10966.4813,17.5304,-966.3858,-645.3295,-321.0563,346.7751,2454793,14262.2719,10702.0495,7141.8271,0
FPT.VN,2010-05-21,8200.54,8407.28,8131.63,8407.28,1978462,10515.987,11293.315,9942.3349,10866.1205,17.1512,-977.3937,-711.7424,-265.6514,346.6169,476331,14150.4958,10515.987,6881.4782,1
FPT.VN,2010-05-24,8338.36,8476.19,8269.45,8476.19,1099371,10329.9245,11220.2682,9802.7021,10772.3977,19.0375,-969.3827,-763.2704,-206.1123,336.6257,1575702,13982.9538,10329.9245,6676.8952,0
FPT.VN,2010-05-25,8476.19,8476.19,8476.19,8476.19,0,10143.862,11158.2474,9676.3676,10682.3504,19.0375,-952.0592,-801.0282,-151.031,312.581,1575702,13775.3991,10143.862,6512.3249,1
FPT.VN,2010-05-26,9096.4,9096.4,8820.75,8889.66,1820507,9978.473,11103.1178,9601.4431,10612.0488,30.1107,-894.6536,-819.7533,-74.9003,334.5545,3396209,13516.3005,9978.473,6440.6455,1
FPT.VN,2010-05-27,8889.66,9027.49,8820.75,9027.49,5446721,9823.421,11045.2318,9546.7809,10549.9092,33.3815,-828.4872,-821.5001,-6.9871,325.4249,8842930,13234.0194,9823.421,6412.8226,1
FPT.VN,2010-05-28,9234.22,9234.22,9027.49,9096.4,3447072,9671.8145,10990.1022,9503.8874,10492.9089,35.019,-761.7089,-809.5418,47.8329,316.9467,12290002,12916.5091,9671.8145,6427.1199,0
FPT.VN,2010-05-31,9096.4,9096.4,8958.57,8958.57,1427615,9513.3165,10937.729,9451.9524,10432.7387,33.2582,-711.7043,-789.9743,78.2701,304.1526,10862387,12556.1351,9513.3165,6470.4979,1
FPT.VN,2010-06-01,8958.57,9096.4,8889.66,9096.4,1513449,9358.2645,10890.8688,9418.0903,10380.3333,36.6866,-653.4213,-762.6637,109.2424,297.1946,12375836,12129.0716,9358.2645,6587.4574,0
FPT.VN,2010-06-02,9027.49,9165.31,9027.49,9096.4,2121253,9199.767,10838.4956,9387.4531,10329.9829,36.6866,-600.3115,-730.1933,129.8817,285.8107,12375836,11609.2526,9199.767,6790.2814,1
FPT.VN,2010-06-03,9096.4,9234.22,9096.4,9234.22,2449352,9058.497,10793.0136,9372.8595,10287.0118,40.2461,-540.866,-692.3278,151.4618,275.2399,14825188,11058.4961,9058.497,7058.4979,0
FPT.VN,2010-06-04,9234.22,9303.13,9234.22,9234.22,1461717,8924.1185,10748.9098,9359.6557,10245.7259,40.2461,-488.1282,-651.4879,163.3597,260.5021,14825188,10408.8664,8924.1185,7439.3706,0
FPT.VN,2010-06-07,9096.4,9096.4,8889.66,8889.66,1756077,8779.403,10693.7802,9314.8942,10192.5468,34.605,-468.7329,-614.9369,146.204,266.5062,13069111,9407.6585,8779.403,8151.1475,1
FPT.VN,2010-06-08,8889.66,8958.57,8889.66,8958.57,1464401,8786.294,10642.7852,9280.9586,10144.1556,36.5214,-442.6984,-580.4892,137.7908,252.3922,14533512,9419.4631,8786.294,8153.1249,1
FPT.VN,2010-06-09,9096.4,9165.31,9027.49,9096.4,1025001,8796.631,10594.5468,9263.3816,10103.0671,40.2903,-406.261,-545.6436,139.3825,249.1313,15558513,9443.5076,8796.631,8149.7544,1
FPT.VN,2010-06-10,9096.4,9234.22,9096.4,9165.31,1211615,8817.3045,10543.5518,9254.0414,10066.2923,42.1399,-367.5864,-510.0321,142.4458,241.1805,16770128,9484.27,8817.3045,8150.339,1
FPT.VN,2010-06-11,9303.13,9303.13,9165.31,9234.22,994527,8841.4235,10491.1786,9252.1537,10033.6621,44.0078,-327.5996,-473.5456,145.946,233.7976,17764655,9532.8602,8841.4235,8149.9868,1
FPT.VN,2010-06-14,9372.05,9440.96,9372.05,9440.96,1617495,8893.1075,10442.9402,9270.1352,10010.4188,49.2965,-276.0455,-434.0456,158.0001,231.8649,19382150,9602.2124,8893.1075,8184.0026,0
FPT.VN,2010-06-15,9440.96,9440.96,9440.96,9440.96,0,8944.7915,10394.7018,9286.4043,9988.0871,49.2965,-232.5083,-393.7382,161.2298,215.3032,19382150,9655.4814,8944.7915,8234.1016,0
FPT.VN,2010-06-16,9234.22,9303.13,9165.31,9165.31,971817,8993.03,10339.5722,9274.8715,9955.8214,43.014,-217.7375,-358.538,140.8005,219.6136,18410333,9616.6543,8993.03,8369.4057,1
FPT.VN,2010-06-17,9372.05,9440.96,9303.13,9440.96,2061756,9041.2685,10291.3338,9290.6894,9935.6307,49.8912,-181.6944,-323.1693,141.4749,223.6162,20472089,9645.5146,9041.2685,8437.0224,0
FPT.VN,2010-06-18,9509.87,9509.87,9303.13,9303.13,1398085,9086.061,10240.3388,9291.8742,9910.8268,46.8469,-162.3799,-291.0114,128.6315,222.4108,19074004,9621.3014,9086.061,8550.8206,1
FPT.VN,2010-06-21,9509.87,9509.87,9372.05,9509.87,1379801,9137.745,10190.722,9312.6357,9895.103,51.616,-128.9049,-258.5901,129.6852,221.2915,20453805,9622.2497,9137.745,8653.2403,1
FPT.VN,2010-06-22,9509.87,9647.69,9440.96,9647.69,1978389,9196.32,10142.4834,9344.5457,9885.4005,54.544,-90.2149,-224.9151,134.7002,220.2513,22432194,9623.9957,9196.32,8768.6443,0
FPT.VN,2010-06-23,9509.87,9578.78,9303.13,9303.13,622894,9216.9935,10087.3536,9340.6013,9862.5664,46.9021,-86.3603,-197.2041,110.8438,229.1305,21809300,9621.6054,9216.9935,8812.3816,1
FPT.VN,2010-06-24,9303.13,9716.61,9303.13,9578.78,2292267,9244.558,10037.7368,9363.285,9851.4375,52.6211,-60.3671,-169.8367,109.4697,242.2984,24101567,9669.4191,9244.558,8819.6969,0
FPT.VN,2010-06-25,9440.96,9578.78,9372.05,9440.96,825544,9261.786,9986.7418,9370.6826,9835.3403,49.7367,-50.3082,-145.931,95.6228,239.7578,23276023,9689.2867,9261.786,8834.2853,0
FPT.VN,2010-06-28,9372.05,9440.96,9372.05,9372.05,386071,9282.46,9937.1252,9370.8129,9817.1721,48.3108,-47.3511,-126.215,78.8639,227.5543,22889952,9687.6279,9282.46,8877.2921,1
FPT.VN,2010-06-29,9509.87,9647.69,9440.96,9578.78,3496773,9306.579,9891.6432,9390.6192,9807.8234,52.6926,-28.0034,-106.5727,78.5693,230.989,26386725,9722.4022,9306.579,8890.7558,0
FPT.VN,2010-06-30,9578.78,9578.78,9303.13,9509.87,757994,9327.2525,9844.783,9401.9765,9796.1389,51.1364,-18.0229,-88.8628,70.8398,234.1791,25628731,9740.1808,9327.2525,8914.3242,1
FPT.VN,2010-07-01,9372.05,9647.69,9372.05,9647.69,2005525,9347.926,9795.1662,9425.3778,9790.3174,54.0587,0.9961,-70.891,71.8871,237.1406,27634256,9782.0977,9347.926,8913.7543,0
FPT.VN,2010-07-02,9509.87,9509.87,9303.13,9372.05,967972,9354.8175,9740.0366,9420.2989,9773.9148,47.89,-6.1026,-57.9333,51.8307,244.8134,26666284,9785.7533,9354.8175,8923.8817,1
FPT.VN,2010-07-05,9509.87,9509.87,9372.05,9440.96,1202256,9382.3825,9684.907,9422.2666,9760.8577,49.4432,-6.0977,-47.5662,41.4685,237.171,27868540,9754.5608,9382.3825,9010.2042,0
FPT.VN,2010-07-06,9509.87,9509.87,9303.13,9372.05,1861429,9403.0565,9628.3992,9417.4841,9745.6103,47.9055,-11.5214,-40.3572,28.8358,234.9974,26007111,9717.5806,9403.0565,9088.5324,0
FPT.VN,2010-07-07,9509.87,9509.87,9303.13,9303.13,856888,9413.393,9570.513,9406.5932,9728.2582,46.3528,-21.1374,-36.5133,15.3759,232.979,25150223,9697.6116,9413.393,9129.1744,1
FPT.VN,2010-07-08,9440.96,9647.69,9440.96,9578.78,1236647,9434.0665,9519.518,9422.992,9722.3963,52.9248,-6.4412,-30.4989,24.0576,240.9491,26386870,9701.9887,9434.0665,9166.1443,0
FPT.VN,2010-07-09,9578.78,9578.78,9440.96,9509.87,312934,9447.849,9467.1448,9431.2661,9714.0619,51.235,-0.3508,-24.4693,24.1184,233.5827,26073936,9700.4041,9447.849,9195.2939,0
FPT.VN,2010-07-12,9303.13,9440.96,9303.13,9440.96,512536,9447.849,9413.3934,9432.1893,9703.352,49.5319,-1.0722,-19.7898,18.7176,231.6654,25561400,9700.4041,9447.849,9195.2939,1
FPT.VN,2010-07-13,9647.69,9647.69,9509.87,9578.78,3489009,9454.74,9361.0202,9446.1503,9698.4669,52.9038,9.369,-13.9581,23.3271,229.8843,29050409,9713.9371,9454.74,9195.5429,0
